S.No;GroupName;Members;Group Type;Group Scope;Domain Name;OU Name;Distinguished Name
497;Valetur Brasilia;-;Distribution;Universal;aviva.com.br;Grupos de Distribuicao - Correio de Email;CN=Valetur Brasilia,OU=Grupos de Distribuicao - Correio de Email,DC=aviva,DC=com,DC=br
498;Valetur Osasco;-;Distribution;Universal;aviva.com.br;Grupos de Distribuicao - Correio de Email;CN=Valetur Osasco,OU=Grupos de Distribuicao - Correio de Email,DC=aviva,DC=com,DC=br
499;Valetur Tatuape;-;Distribution;Universal;aviva.com.br;Grupos de Distribuicao - Correio de Email;CN=Valetur Tatuape,OU=Grupos de Distribuicao - Correio de Email,DC=aviva,DC=com,DC=br
500;VEMPARANOSSATI;-;Distribution;Universal;aviva.com.br;Grupos de Distribuicao - Correio de Email;CN=VEMPARANOSSATI,OU=Grupos de Distribuicao - Correio de Email,DC=aviva,DC=com,DC=br
501;Vendas Web;-;Distribution;Universal;aviva.com.br;Grupos de Distribuicao - Correio de Email;CN=Vendas Web,OU=Grupos de Distribuicao - Correio de Email,DC=aviva,DC=com,DC=br
502;vendasgrupo;-;Distribution;Universal;aviva.com.br;Grupos de Distribuicao - Correio de Email;CN=vendasgrupo,OU=Grupos de Distribuicao - Correio de Email,DC=aviva,DC=com,DC=br
503;Vendedores Hot Park;-;Distribution;Universal;aviva.com.br;Grupos de Distribuicao - Correio de Email;CN=Vendedores Hot Park,OU=Grupos de Distribuicao - Correio de Email,DC=aviva,DC=com,DC=br
504;VO - Brasília;-;Distribution;Universal;aviva.com.br;Grupos de Distribuicao - Correio de Email;CN=VO - Brasília,OU=Grupos de Distribuicao - Correio de Email,DC=aviva,DC=com,DC=br
505;VO - São Paulo;-;Distribution;Universal;aviva.com.br;Grupos de Distribuicao - Correio de Email;CN=VO - São Paulo,OU=Grupos de Distribuicao - Correio de Email,DC=aviva,DC=com,DC=br
506;West Central Turismo;-;Distribution;Universal;aviva.com.br;Grupos de Distribuicao - Correio de Email;CN=West Central Turismo,OU=Grupos de Distribuicao - Correio de Email,DC=aviva,DC=com,DC=br
507;Workflow GETH;-;Distribution;Universal;aviva.com.br;Grupos de Distribuicao - Correio de Email;CN=Workflow GETH,OU=Grupos de Distribuicao - Correio de Email,DC=aviva,DC=com,DC=br
