S.No;Group Name;Members;Group Type;Group Scope;Domain Name;OU Name;Distinguished Name
81;BRBAFS01_Relatorios_Gerenciais_Consumo_Telefonia_Pousadas_RO;Security;Security;Global;aviva.com.br;Unidade Costa do Sauipe/Grupos/Security/FS Legado;CN=BRBAFS01_Relatorios_Gerenciais_Consumo_Telefonia_Pousadas_RO,OU=FS Legado,OU=Security,OU=Grupos,OU=Unidade Costa do Sauipe,DC=aviva,DC=com,DC=br
82;BRBAFS01_Relatorios_Gerenciais_Consumo_Telefonia_Premium_RO;Security;Security;Global;aviva.com.br;Unidade Costa do Sauipe/Grupos/Security/FS Legado;CN=BRBAFS01_Relatorios_Gerenciais_Consumo_Telefonia_Premium_RO,OU=FS Legado,OU=Security,OU=Grupos,OU=Unidade Costa do Sauipe,DC=aviva,DC=com,DC=br
83;BRBAFS01_Relatorios_Gerenciais_Consumo_Telefonia_Presidencia_RO;Security;Security;Global;aviva.com.br;Unidade Costa do Sauipe/Grupos/Security/FS Legado;CN=BRBAFS01_Relatorios_Gerenciais_Consumo_Telefonia_Presidencia_RO,OU=FS Legado,OU=Security,OU=Grupos,OU=Unidade Costa do Sauipe,DC=aviva,DC=com,DC=br
84;BRBAFS01_Relatorios_Gerenciais_Consumo_Telefonia_Qualidade_RO;Security;Security;Global;aviva.com.br;Unidade Costa do Sauipe/Grupos/Security/FS Legado;CN=BRBAFS01_Relatorios_Gerenciais_Consumo_Telefonia_Qualidade_RO,OU=FS Legado,OU=Security,OU=Grupos,OU=Unidade Costa do Sauipe,DC=aviva,DC=com,DC=br
85;BRBAFS01_Relatorios_Gerenciais_Consumo_Telefonia_RH_RO;Security;Security;Global;aviva.com.br;Unidade Costa do Sauipe/Grupos/Security/FS Legado;CN=BRBAFS01_Relatorios_Gerenciais_Consumo_Telefonia_RH_RO,OU=FS Legado,OU=Security,OU=Grupos,OU=Unidade Costa do Sauipe,DC=aviva,DC=com,DC=br
86;BRBAFS01_Relatorios_Gerenciais_Consumo_Telefonia_Seguranca_RO;Security;Security;Global;aviva.com.br;Unidade Costa do Sauipe/Grupos/Security/FS Legado;CN=BRBAFS01_Relatorios_Gerenciais_Consumo_Telefonia_Seguranca_RO,OU=FS Legado,OU=Security,OU=Grupos,OU=Unidade Costa do Sauipe,DC=aviva,DC=com,DC=br
87;BRBAFS01_Relatorios_Gerenciais_Consumo_Telefonia_Suprimentos_RO;Security;Security;Global;aviva.com.br;Unidade Costa do Sauipe/Grupos/Security/FS Legado;CN=BRBAFS01_Relatorios_Gerenciais_Consumo_Telefonia_Suprimentos_RO,OU=FS Legado,OU=Security,OU=Grupos,OU=Unidade Costa do Sauipe,DC=aviva,DC=com,DC=br
88;BRBAFS01_Relatorios_Gerenciais_Consumo_Telefonia_TI_RO;Security;Security;Global;aviva.com.br;Unidade Costa do Sauipe/Grupos/Security/FS Legado;CN=BRBAFS01_Relatorios_Gerenciais_Consumo_Telefonia_TI_RO,OU=FS Legado,OU=Security,OU=Grupos,OU=Unidade Costa do Sauipe,DC=aviva,DC=com,DC=br
89;BRBAFS01_Relatorios_Gerenciais_OBZ_Marketing_RO;Security;Security;Global;aviva.com.br;Unidade Costa do Sauipe/Grupos/Security/FS Legado;CN=BRBAFS01_Relatorios_Gerenciais_OBZ_Marketing_RO,OU=FS Legado,OU=Security,OU=Grupos,OU=Unidade Costa do Sauipe,DC=aviva,DC=com,DC=br
90;BRBAFS01_Relatorios_Gerenciais_OBZ_Pessoal_RO;Security;Security;Global;aviva.com.br;Unidade Costa do Sauipe/Grupos/Security/FS Legado;CN=BRBAFS01_Relatorios_Gerenciais_OBZ_Pessoal_RO,OU=FS Legado,OU=Security,OU=Grupos,OU=Unidade Costa do Sauipe,DC=aviva,DC=com,DC=br
